"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"620","C0702","C","7","2","Propranolol","Comprimido","40 mg","C07AA05","","0.33","","True",""
"621","C0703","C","7","3","Propranolol","Inyectable","1 mg/ml","C07AA05","","37.659999999999997","","True",""
"622","V0313","V","3","13","Protamina Sulfato","Inyectable","10 mg/ml","V03AB14","","157.5","","True",""
"623","V0601","V","6","1","Proteinas para alimentación enteral (alimento)","Polvo","Según disponibilidad","V06DB**","","126.751108033241","","True",""
"624","S0120","S","1","20","Proximetacaina (Proparacaina)","Solución oftálmica","0,5%","S01HA04","","125.93799999999999","","True",""
"625","N0518","N","5","18","Quetiapina","Comprimido","100 mg","N05AH04","R","10.42","","True",""
"626","P0117","P","1","17","Quinina (bisulfato o sulfato)","Comprimido","300 mg","P01BC01","","0.83","","True",""
"627","P0118","P","1","18","Quinina (diclorhidrato)","Inyectable","600 mg","P01BC01","","27.51","","True",""
"628","N0116","N","1","16","Remifentanilo","Inyectable","5 mg","N01AH06","","147.28738547709543","","True",""
"629","D0601","D","6","1","Resina de Podofilo (Podofilina)","Solución tópica","10% o 25%","D06BB04","","35","25% 15ml","True",""
"630","D1004","D","10","4","Resorcinol","Crema o Pomada","0.1","D10AX02","","22.67","10 g","True",""
"631","A1113","A","11","13","Retinol (Vitamina A)","Cápsula o Perla","10.000 UI","A11CA01","","0.8","","True",""
"632","A1114","A","11","14","Retinol (Vitamina A)","Cápsula o Perla","25.000 UI","A11CA01","","0.89","","True",""
"633","A1115","A","11","15","Retinol (Vitamina A)","Cápsula o Perla","100.000 UI","A11CA01","","1.46","","True",""
"634","A1116","A","11","16","Retinol (Vitamina A)","Cápsula o Perla","200.000 UI","A11CA01","","1.1758944582595174","","True",""
"635","J0409","J","4","9","Rifampicina","Suspensión","100 mg/5 ml","J04AB02","","28.6","","True",""
"636","J0410","J","4","10","Rifampicina","Cápsula o Comprimido","300 mg","J04AB02","","1.73","","True",""
"637","J0417","J","4","17","Rifampicina","Cápsula o Comprimido","150 mg","J04AB02","R","1.25","","True",""
"638","J0428","J","4","28","Rifampicina","Solución oral","20 mg/ml","J04AB02","R","48.3","","True",""
"639","J0429","J","4","29","Rifampicina + Isoniazida","Comprimido dispersable","75 mg + 50 mg","J04AM02","R","0.36","","True",""
"640","J0414","J","4","14","Rifampicina + Isoniazida (INH)","Comprimido","300 mg + 150 mg","J04AM02","R","0.24402599999999999","","True",""
"641","J0422","J","4","22","Rifampicina, Clofazimina, Dapsona","Comprimido","300 mg + 50 mg + 50 mg","104BA","R","13.4","","True",""
"642","J0423","J","4","23","Rifampicina, Clofazimina, Dapsona","Comprimido","300 mg + 100 mg + 100 mg","J04BA","R","22.22","","True",""
"643","J0420","J","4","20","Rifampicina, Dapsona","Comprimido","300 mg + 50 mg","J04BA","R","2","","True",""
"644","J0421","J","4","21","Rifampicina, Dapsona","Comprimido","300 mg + 100 mg","J04BA","R","1.99","","True",""
"645","N0512","N","5","12","Risperidona","Comprimido","3 mg","N05AX08","","4.9800000000000004","","True",""
"646","J0522","J","5","22","Ritonavir","Cápsula blanda","100 mg","J05AE03","","17.86","","True",""
"647","L0141","L","1","41","Rituximab","Inyectable","500 mg/50 ml","L01XC02","R","9393.85","","True",""
"648","L0156","L","1","56","Rituximab","Inyectable","100 mg/10ml","L01XC02","R","4500","","True",""
"649","B0107","B","1","7","Rivaroxabán","Comprimido","10 mg","B01AX06","R","20.67","","True",""
"650","M0303","M","3","3","Rocuronio bromuro","Inyectable","10 mg/ml","M03AC09","","79.702500000000001","","True",""
"651","C1003","C","10","3","Rosuvastatina","Comprimido","20 mg","C10AA07","","12.02","","True",""
"652","R0304","R","3","4","Salbutamol","Solución para nebulización","5 mg/ml","R03AC02","","54.128827190627291","","True",""
"653","R0305","R","3","5","Salbutamol","Comprimido","4 mg","R03CC02","","0.71","","True",""
"654","R0306","R","3","6","Salbutamol","Aerosol","0,1 mg/inhalación","R03AC02","","21.03096697016155","200 dósis","True",""
"655","A0706","A","7","6","Sales de rehidratación oral (SRO) baja osmolaridad","Sobres","Según concentración estándar","A07CA**","","2.4824546073175773","","True",""
"656","R0311","R","3","11","Salmeterol + Fluticasona","Aerosol","25 mcg + 125 mcg","R03AK06","","161.34216534748197","120 dósis","True",""
"657","N0114","N","1","14","Sevoflurano (Trifluorometil etil)","Solución","250 ml","N01AB08","","1930","","True",""
"658","C0208","C","2","8","Sildenafilo","Comprimido","50 mg","C02KX","","4.72","","True",""
"659","A0312","A","3","12","Simeticona","Suspensión","3% o 4%","A03AX13","","22.35","30ml","True",""
"660","A0313","A","3","13","Simeticona","Comprimido","100 mg","A03AX13","","1.9699999999999998","","True",""
"661","J0541","J","5","41","Sofosbuvir","Comprimido","400 mg","J05AX15","","380.51","","True",""
"662","B0513","B","5","13","Solucion Acida","Solución","Según disponibilidad","B05Z**","","120.89","10 L","True",""
"663","B0514","B","5","14","Solución Básica","Solución","Según disponibilidad","B05Z**","","120.97","10 L","True",""
"664","B0515","B","5","15","Solución de glucosa","Solución parenteral de gran volumen","5% (500 ml)","B05CX01","","11.777005292441309","","True",""
"665","B0516","B","5","16","Solución de glucosa","Solución parenteral de gran volumen","5% (1.000 ml)","B05CX01","","13.44","","True",""
"666","B0517","B","5","17","Solución de glucosa","Solución parenteral de gran volumen","10% (500 ml)","B05CX01","","9.7447515709484165","","True",""
"667","B0518","B","5","18","Solución de glucosa","Solución parenteral de gran volumen","10% (1.000 ml)","B05CX01","","10.694316802368617","","True",""
"668","B0519","B","5","19","Solución de glucosa","Solución parenteral de gran volumen","50% (500 ml)","B05CX01","","22.140563044256233","","True",""
"669","B0520","B","5","20","Solución de glucosa","Inyectable","50% (20 ml)","B05CX01","","6.76","","True",""
"670","B0536","B","5","36","Solución de glucosa","Solución parenteral","10% (250 ml)","B05CX01","","16.7","","True",""
"671","B0521","B","5","21","Solución de Manitol","Solución parenteral de gran volumen","20% (500 ml)","B05CX04","","23.9","","True",""
"672","V0701","V","7","1","Solución de preservación de órganos sòlidos HTK","Soluciòn","Según disponibilidad","V07AB","R","3904","","True",""
"673","B0522","B","5","22","Solución Fisiológica","Solución parenteral de gran volumen","0,9% (500 ml)","B05CB01","","10.407477587945175","","True",""
"674","B0523","B","5","23","Solución Fisiológica","Solución parenteral de gran volumen","0,9% (1.000 ml)","B05CB01","","10.71","","True",""
