"fila_excel","codigo","grupo_atq","subgrupo_atq","correlativo","medicamento","forma_farmaceutica","concentracion","clasificacion_atq","uso_restringido","precio_referencial","aclaracion_particularidades","es_valido","motivo_invalidacion"
"113","L0212","L","2","12","Bicalutamida","Comprimido","50 mg","L02BB03","R","8.75","","True",""
"114","A0101","A","1","1","Bicarbonato de sodio","Polvo","20 g","A01AB11","","2.105","","True",""
"115","B0504","B","5","4","Bicarbonato de sodio","Inyectable","0.08","B05XA02","","9.4937176538240369","","True",""
"116","B0505","B","5","5","Bicarbonato de sodio p/hemodiálisis","Polvo","Frasco por 720 g","B05CB04","","189.42","","True",""
"117","N0401","N","4","1","Biperideno clorhidrato","Comprimido","4 mg","N04AA02","","5.9849999999999994","","True",""
"118","A0602","A","6","2","Bisacodilo","Comprimido","5 mg","A06AB02","","0.97","","True",""
"119","C0706","C","7","6","Bisoprolol","Comprimido","5 mg","C07AB07","","2.96","","True",""
"120","L0101","L","1","1","Bleomicina","Inyectable","15 UI","L01DC01","","412.24","","True",""
"121","L0155","L","1","55","Bortezomib","Polvo para inyectable","3,5 mg","L01XX32","R","5000","","True",""
"122","G0201","G","2","1","Bromocriptina","Comprimido","2,5 mg","G02CB01","","4.47","","True",""
"123","R0312","R","3","12","Budesonida","Aerosol","100 mcg","R03BA02","","129.655","20 ml","True",""
"124","N0101","N","1","1","Bupivacaina clorhidrato","Inyectable","0,5%","N01BB01","","18","","True",""
"125","N0102","N","1","2","Bupivacaina clorhidrato (pesada)","Inyectable","0,5%","N01BB01","","13.589185552056392","","True",""
"126","N0103","N","1","3","Bupivacaina clorhidrato con Epinefrina sin conservante","Inyectable","0,5% 1:200.000","N01BB51","","41.365000000000002","20 ml","True",""
"127","L0102","L","1","2","Busulfano","Comprimido","2 mg","L01AB01","","9.39","","True",""
"128","A0302","A","3","2","Butilbromuro de Hioscina (Butilescopolamina)","Comprimido","10 mg","A03BB01","","2.1","","True",""
"129","A0303","A","3","3","Butilbromuro de Hioscina (Butilescopolamina)","Solución oral gotas","0,1%","A03BB01","","25.4","","True",""
"130","A0304","A","3","4","Butilbromuro de Hioscina (Butilescopolamina)","Inyectable","20 mg/ml","A03BB01","","4.9560093925347655","","True",""
"131","G0211","G","2","11","Cabergolina","Comprimido","0,5 mg","G02CB03","","53.794668010846138","","True",""
"132","N0609","N","6","9","Cafeína Citrato","Inyectable","20 mg/ml","N06BC01","","120","3 ml","True",""
"133","A1201","A","12","1","Calcio (carbonato o citrato)","Comprimido","500 mg (ión calcio)","A12AA04","","1.39","","True",""
"134","A1202","A","12","2","Calcio + Vitamina D","Comprimido o Cápsula","500 mg (ión calcio); Según disponibilidad","A12AX**","","1.6600000000000001","","True",""
"135","L0103","L","1","3","Capecitabine","Comprimido","500 mg","L01BC06","","15.124508718726325","","True",""
"136","J0412","J","4","12","Capreomicina","Inyectable","1 g","J04AB30","","41.48","","True",""
"137","N0304","N","3","4","Carbamazepina","Comprimido","200 mg","N03AF01","","0.97763209541062812","","True",""
"138","H0105","H","1","5","Carbetocina","Inyectable","100 mcg/ml","H01BB03","R","408.41","","True",""
"139","A0701","A","7","1","Carbón medicinal activado","Polvo","Según disponibilidad","A07BA01","","2.77","","True",""
"140","L0104","L","1","4","Carboplatino","Inyectable","450 mg","L01XA02","","734.71220575221241","","True",""
"141","L0132","L","1","32","Carboplatino","Inyectable","150 mg","L01XA02","","391.63499999999999","","True",""
"142","C0704","C","7","4","Carvedilol","Comprimido","6,25 mg","C07AG02","","1.9314629629629643","","True",""
"143","C0705","C","7","5","Carvedilol","Comprimido","12,5 mg","C07AG02","","2.2020244626047139","","True",""
"144","J0121","J","1","21","Cefazolina","Inyectable","1 g","J01DB04","","18","","True",""
"145","J0174","J","1","74","Cefepima","Inyectable","1g","J01DE01","","120","15 ml","True",""
"146","J0158","J","1","58","Cefixima","Comprimido o Cápsula","400 mg","J01DD08","R","7.38","","True",""
"147","J0163","J","1","63","Cefixima","Suspensión","100 mg/5 ml","J01DD08","","38.58","50 ml","True",""
"148","J0122","J","1","22","Cefotaxima","Inyectable","1 g","J01DD01","","8.4400000000000013","","True",""
"149","J0123","J","1","23","Cefradina","Cápsula o Comprimido","500 mg","J01DB09","","2.2250000000000001","","True",""
"150","J0124","J","1","24","Cefradina","Suspensión","250 mg/5 ml","J01DB09","","21","60 ml","True",""
"151","J0125","J","1","25","Ceftazidima","Inyectable","1 g","J01DD02","","13","","True",""
"152","J0126","J","1","26","Ceftriaxona","Inyectable","1 g","J01DD04","","11.984999999999999","","True",""
"153","R0607","R","6","7","Cetirizina","Cápsula o Comprimido","10 mg","R06AE07","","1.1100000000000001","","True",""
"154","R0608","R","6","8","Cetirizina","Jarabe","5 mg/5 ml","R06AE07","","24.3","100 ml","True",""
"155","A1104","A","11","4","Cianocobalamina (Vitamina B12)","Inyectable","1 mg/ml","A11EA**","","4.8899999999999997","1ml","True",""
"156","L0105","L","1","5","Ciclofosfamida","Inyectable","500 mg","L01AA01","","164.59","","True",""
"157","L0106","L","1","6","Ciclofosfamida","Inyectable","1 g","L01AA01","","398.74","50 ml","True",""
"158","L0107","L","1","7","Ciclofosfamida","Comprimido","50 mg","L01AA01","","5.59","","True",""
"159","J0401","J","4","1","Cicloserina","Cápsula","250 mg","J04AB01","","2.99","","True",""
"160","L0403","L","4","3","Ciclosporina","Solución oral","100 mg/ml","L04AA01","","1597.7249999999999","","True",""
"161","L0404","L","4","4","Ciclosporina","Cápsula blanda","100 mg","L04AA01","","25.215","","True",""
"162","L0405","L","4","5","Ciclosporina","Cápsula blanda","25 mg","L04AA01","","11.76","","True",""
"163","L0406","L","4","6","Ciclosporina","Cápsula blanda","50 mg","L04AA01","","13.2","","True",""
"164","S0103","S","1","3","Ciclosporina","Solución oftálmica","1E-3","S01XA18","","285","","True",""
"165","J0127","J","1","27","Ciprofloxacina","Comprimido","500 mg","J01MA02","","1.17","","True",""
"166","J0128","J","1","28","Ciprofloxacina","Inyectable","200 mg","J01MA02","","11.64","","True",""
"167","J0161","J","1","61","Ciprofloxacina","Comprimido","250 mg","J01MA02","","1.1100000000000001","","True",""
"168","S0104","S","1","4","Ciprofloxacina","Solución oftálmica","0,3%","S01AX13","","40.529187902175806","","True",""
"169","L0202","L","2","2","Ciproterona (acetato)","Comprimido","50 mg","L02AX**","","7","","True",""
"170","G0301","G","3","1","Ciproterona acetato + Estradiol valerato","Comprimido","2 mg + 1 mg","G03HA01","","126","Por ciclo","True",""
"171","G0302","G","3","2","Ciproterona acetato + Estradiol valerato","Comprimido","2 mg + 0,035 mg","G03HA01","","6.4283333333333506","Por ciclo","True",""
"172","L0108","L","1","8","Cisplatino","Inyectable","10 mg","L01XA01","","75.599999999999994","","True",""
"173","L0109","L","1","9","Cisplatino","Inyectable","50 mg","L01XA01","","148.09670097305388","","True",""
"174","L0110","L","1","10","Citarabina","Inyectable","100 mg","L01BC01","","102.095","","True",""
"175","L0111","L","1","11","Citarabina","Inyectable","500 mg","L01BC01","","281.35000000000002","","True",""
"176","J0129","J","1","29","Claritromicina","Comprimido","500 mg","J01FA09","R","5.92","","True",""
"177","J0130","J","1","30","Claritromicina","Suspensión","250 mg/5 ml","J01FA09","R","138.38","80 ml","True",""
"178","J0131","J","1","31","Clindamicina","Suspensión o Jarabe","75 mg/5 ml","J01FF01","R","145.25","","True",""
"179","J0156","J","1","56","Clindamicina","Cápsula o comprimido","300 mg","J01FF01","R","13.06500169555764","","True",""
"180","J0164","J","1","64","Clindamicina","Inyectable","600 mg","J01FF01","","17.2","","True",""
"181","D0702","D","7","2","Clobetasol","Crema o Pomada","0,05%","D07AD01","","18.025826724936326","25 g","True",""
"182","D0703","D","7","3","Clobetasol","Solución","0,05%","D07AD01","","56.9","","True",""
"183","J0415","J","4","15","Clofazimina","Cápsula","100 mg","J04BA01","R","10.94","","True",""
"184","J0402","J","4","2","Clofazimina","Cápsula","50 mg","J04BA01","","5.69","","True",""
"185","G0303","G","3","3","Clomifeno citrato","Comprimido","50 mg","G03GB02","","3.77","","True",""
"186","N0602","N","6","2","Clomipramina","Comprimido","75 mg","N06AA04","","5","","True",""
"187","N0603","N","6","3","Clomipramina (clorhidrato)","Inyectable","25 mg/2 ml","N06AA04","","15.21","","True",""
"188","N0306","N","3","6","Clonazepam","Comprimido ranurado","2 mg","N03AE01","","4.2362007985946146","","True",""
"189","N0312","N","3","12","Clonazepam","Solución oral","2,5 mg/ml","N03AE01","","108.59076624420356","30 ml","True",""
"190","B0106","B","1","6","Clopidogrel","Comprimido","75 mg","B01AC04","R","5.09","","True",""
"191","J0132","J","1","32","Cloranfenicol","Cápsula","500 mg","J01BA01","","2.37","","True",""
"192","S0105","S","1","5","Cloranfenicol","Solución oftálmica","0,5%","S01AA01","","11.46","","True",""
"193","S0106","S","1","6","Cloranfenicol","Ungüento oftálmico","0.01","S01AA01","","24.425442930153324","5 g","True",""
"194","J0133","J","1","33","Cloranfenicol succinato sódico","Inyectable","1 g","J01BA01","","4.49","","True",""
"195","R0601","R","6","1","Clorfenamina (Clorfeniramina)","Comprimido","4 mg","R06AB04","","0.34063967328872752","","True",""
"196","R0602","R","6","2","Clorfenamina (Clorfeniramina)","Jarabe","2 mg/5 ml","R06AB04","","10.20350309616008","","True",""
"197","R0603","R","6","3","Clorfenamina (Clorfeniramina)","Inyectable","10 mg/ml","R06AB04","","2.0499999999999998","","True",""
"198","D0802","D","8","2","Clorhexidina gluconato","Solución","Según disponibilidad","D08AC02","","146.53","1 L","True",""
"199","P0103","P","1","3","Cloroquina fosfato","Comprimido","250 mg (150 mg base)","P01BA01","","0.37","","True",""
"200","N0502","N","5","2","Clorpromazina","Comprimido","100 mg","N05AA01","","2.9499999999999997","","True",""
"201","N0503","N","5","3","Clorpromazina","Inyectable","12,5 mg/ml","N05AA01","","3.8118945000000002","2 ml","True",""
"202","A1203","A","12","3","Cloruro de potasio","Solución oral","1,3 mEq/ml","A12BA01","","29.67","","True",""
"203","B0506","B","5","6","Cloruro de potasio","Inyectable","0.2","B05XA01","","3.55","","True",""
"204","B0507","B","5","7","Cloruro de sodio","Inyectable","0.2","B05CB01","","3.53","","True",""
"205","D0103","D","1","3","Clotrimazol","Crema o Pomada","0.01","D01AC01","","9.9265210801873778","20 g","True",""
"206","G0102","G","1","2","Clotrimazol","Óvulo","100 mg","G01AF02","","1.90707258284383","","True",""
"207","G0103","G","1","3","Clotrimazol","Crema vaginal","0.01","G01AF02","","13.42071630304314","30 g","True",""
"208","J0134","J","1","34","Cloxacilina","Inyectable","500 mg","J01CF02","","7.32","","True",""
"209","J0136","J","1","36","Cloxacilina","Inyectable","1 g","J01CF02","","9.4499999999999993","","True",""
"210","N0202","N","2","2","Codeína","Comprimido","30 mg","N02AA07","","3.79","","True",""
"211","R0502","R","5","2","Codeína","Jarabe","10 mg/5 ml","R05DA04","","37.395217329463897","","True",""
"212","M0402","M","4","2","Colchicina","Comprimido","0,5 mg","M04AC01","","1.2","","True",""
"213","A1105","A","11","5","Colecalciferol (Vitamina D3)","Comprimido o Cápsula blanda","0,25 mcg","A11CC05","","3.95","","True",""
"214","J0167","J","1","67","Colistina","Inyectable","100 mg","J01XB01","R","116.97619047619048","","True",""
"215","A1106","A","11","6","Complejo B (B1 + B6 + B12)","Comprimido","Según concentración estándar","A11DB**","","0.31482002772035111","","True",""
"216","A1107","A","11","7","Complejo B (B1 + B6 + B12)","Inyectable","Según concentración estándar","A11DB**","","3.1","","True",""
"217","A1108","A","11","8","Complejo de vitaminas y minerales (Uso pediatría) CMV","Polvo para solución oral","Según disponibilidad","A11JC**","","395","","True",""
"218","V0605","V","6","5","Complemento nutricional","Polvo","Según concentración estándar","V06DB**","","275.5","1000 g","True",""
"219","V0604","V","6","4","Complemento nutricional (Carmelo)","Polvo","Según concentración estándar","V06DB**","","77.680000000000007","","True",""
"220","V0606","V","6","6","Complemento nutricional (Diabético)","Polvo","Según concentración estándar","V06DB**","","159.24968513333638","","True",""
"221","V0607","V","6","7","Complemento nutricional (Nutri Mama con Cañahua, probiótico y Omega-3)","Polvo","Según concentración estándar","V06DB**","","86.76","800 g","True",""
"222","V0603","V","6","3","Complemento nutricional (Nutribebé)","Polvo","Según concentración estándar","V06DA","","36.5","750 g","True",""
"223","V0801","V","8","1","Contraste iodado","Inyectable","Según disponibilidad (10 ml)","V08AB**","","352","","True",""
"224","V0802","V","8","2","Contraste iodado","Inyectable","Según disponibilidad (50 ml)","V08AB**","","352","","True",""
"225","V0803","V","8","3","Contraste iodado","Inyectable","Según disponibilidad (100 ml o 200 ml)","V08AB**","","432.67578263337111","100 ml","True",""
"226","C0501","C","5","1","Corticoide + anestésico","Supositorio","Según disponibilidad","C05AX03","","3.2050000000000001","","True",""
"227","C0502","C","5","2","Corticoide + anestésico","Crema o Pomada","Según disponibilidad","C05AX03","","71.625","30 g","True",""
"228","S0124","S","1","24","Corticoide + antiinfeccioso de accion tópica","Solución oftálmica","Según disponibilidad","S01CA01","","28.160847942307459","","True",""
"229","S0125","S","1","25","Corticoide + antiinfeccioso de accion tópica","Ungüento oftálmico","Según disponibilidad","S01CA01","","48.69","","True",""
"230","H0101","H","1","1","Corticotrofina (ACTH)","Inyectable","25 UI o 40 UI","H01AA01","","109.47","","True",""
"231","J0137","J","1","37","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Comprimido","800 mg + 160 mg","J01EE01","","1.37","","True",""
"232","J0138","J","1","38","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Suspensión","200 mg + 40 mg/5 ml","J01EE01","","13.710476190476191","100 ml","True",""
"233","J0139","J","1","39","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Comprimido","100 mg + 20 mg","J01EE01","","0.44999999999999996","","True",""
"234","J0140","J","1","40","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Comprimido","400 mg + 80 mg","J01EE01","","0.72607652376580256","","True",""
"235","J0160","J","1","60","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Inyectable","400 mg + 80 mg/5 ml","J01EE01","","39.94","","True",""
"236","J0165","J","1","65","Cotrimoxazol (Sulfametoxazol + Trimetoprima)","Suspensión","400 mg + 80 mg/5 ml","J01EE01","","34.04","100 ml","True",""
"237","L0112","L","1","12","Dacarbazina","Inyectable","200 mg","L01AX04","","416.53499999999997","","True",""
"238","J0540","J","5","40","Daclatasvir","Cápsula o Comprimido","60 mg","J05AX14","","471.51","","True",""
"239","L0113","L","1","13","Dactinomicina","Inyectable","0,5 mg/ml","L01DA01","","437.41","","True",""
"240","J0416","J","4","16","Dapsona","Comprimido","50 mg","J04BA02","R","2.5499999999999998","","True",""
"241","J0403","J","4","3","Dapsona","Comprimido","100 mg","J04BA02","","6.78","","True",""
"242","J0532","J","5","32","Darunavir","Comprimido","600 mg","J05AE10","R","61.466999999999999","","True",""
"243","L0144","L","1","44","Dasatinib","Comprimido","20 mg","L01XE06","R","41.67","","True",""
"244","L0145","L","1","45","Dasatinib","Comprimido","50 mg","L01XE06","R","196.63","","True",""
"245","L0146","L","1","46","Dasatinib","Comprimido","70 mg","L01XE06","R","209.73","","True",""
"246","L0147","L","1","47","Dasatinib","Comprimido","100 mg","L01XE06","R","286.5","","True",""
"247","L0137","L","1","37","Daunorrubicina","Inyectable","20 mg","L01DB02","","553.97","","True",""
"248","V0302","V","3","2","Deferoxamina mesilato","Inyectable","500 mg","V03AC01","","111.55","","True",""
"249","J0419","J","4","19","Delamanid","Comprimido","100 mg","J04AK06","","106","","True",""
"250","H0102","H","1","2","Desmopresina acetato","Solución nasal","0,1 mg/ml","H01BA02","","560.19224550000001","5 ml","True",""
"251","H0202","H","2","2","Dexametasona","Comprimido","4 mg","H02AB02","","0.82","","True",""
"252","H0203","H","2","3","Dexametasona","Comprimido","0,5 mg","H02AB02","","0.57999999999999996","","True",""
"253","H0204","H","2","4","Dexametasona","Inyectable","4 mg/ml","H02AB02","","4.03","1 ml","True",""
"254","S0109","S","1","9","Dexametasona","Solución oftálmica","0,1%","S01BA01","","17.59","10 ml","True",""
"255","S0110","S","1","10","Dexametasona","Ungüento o Pomada oftálmica","0,1%","S01BA01","","35.07","","True",""
"256","N0519","N","5","19","Dexmedetomidina","Inyectable","100 mcg/ml","N05CM18","","150","","True",""
"257","B0508","B","5","8","Dextrán 70","Solución parenteral de gran volúmen","0.06","B05AA05","","67.2","","True",""
"258","R0503","R","5","3","Dextrometorfano bromhidrato","Jarabe","10 mg/5 ml","R05DA09","","11.195","","True",""
"259","N0504","N","5","4","Diazepam","Comprimido ranurado","10 mg","N05BA01","","1.8704886740131341","","True",""
"260","N0505","N","5","5","Diazepam","Inyectable","10 mg","N05BA01","","12.75","","True",""
"261","N0506","N","5","6","Diazepam","Comprimido ranurado","5 mg","N05BA01","","0.6","","True",""
"262","M0101","M","1","1","Diclofenaco Sódico","Pomada o Gel","0.01","M01AB05","","18.179433","30g","True",""
"263","M0102","M","1","2","Diclofenaco Sódico","Comprimido","50 mg","M01AB05","","0.20096654038725414","","True",""
"264","M0103","M","1","3","Diclofenaco Sódico","Inyectable","75 mg","M01AB05","","2.6175632988690625","3 ml","True",""
"265","S0111","S","1","11","Diclofenaco Sódico","Solución oftálmica","0,1%","S01BC03","","29.96","","True",""
"266","J0141","J","1","41","Dicloxacilina sódica","Cápsula","500 mg","J01CF01","","1.7641898710663209","","True",""
"267","J0142","J","1","42","Dicloxacilina sódica","Suspensión","250 mg/5 ml","J01CF01","","15.86","100 ml","True",""
"268","C0105","C","1","5","Digoxina","Inyectable","0,25 mg/ml","C01AA05","","7.7","2ml","True",""
"269","C0106","C","1","6","Digoxina","Comprimido ranurado","0,25 mg","C01AA05","","0.78566719647878713","","True",""
"270","N0701","N","7","1","Dimenhidrinato","Comprimido","50 mg","N07X**","","0.9","","True",""
"271","N0702","N","7","2","Dimenhidrinato","Supositorio","50 mg","N07X**","","4.12","","True",""
"272","N0703","N","7","3","Dimenhidrinato","Inyectable","50 mg/ml","N07X**","","14.91","","True",""
"273","V0303","V","3","3","Dimercaprol (B.A.L.)","Inyectable","100 mg/ml","V03AB09","","758.01","","True",""
"274","C0107","C","1","7","Dinitrato de isosorbida (Isosorbide dinitrato)","Comprimido sublingual","5 mg","C01DA08","","1.35","","True",""
"275","C0108","C","1","8","Dobutamina clorhidrato","Inyectable","250 mg","C01CA07","","41.3","","True",""
"276","L0138","L","1","38","Docetaxel","Inyectable","40 mg/ml (2ml)","L01CD02","","794","","True",""
"277","J0551","J","5","51","Dolutegravir","Comprimido dispersable","10 mg","J05AJ03","R","0.33","","True",""
"278","J0552","J","5","52","Dolutegravir","Comprimido dispersable","50 mg","J05AJ03","R","0.32","","True",""
"279","J0553","J","5","53","Dolutegravir + Lamivudine + Tenofovir","Comprimido","50 mg + 300 mg + 300 mg","J05AR27","R","0.72","","True",""
"280","A0306","A","3","6","Domperidona","Comprimido","10 mg","A03FA03","","0.62","","True",""
"281","C0109","C","1","9","Dopamina clorhidrato","Inyectable","200 mg","C01CA04","","12.641666666666666","","True",""
"282","S0112","S","1","12","Dorzolamida","Solución oftálmica","0.02","S01EC03","","134.31052298608182","","True",""
"283","J0144","J","1","44","Doxiciclina","Cápsula o Comprimido","100 mg","J01AA02","","1.0595312097522025","","True",""
"284","L0148","L","1","48","Doxorrubicina liposomal pegilada","Inyectable","20 mg/ 10 ml","L01DB01","R","718.13","10 ml","True",""
"285","L0114","L","1","14","Doxorubicina clorhidrato (Adriamicina clorh.)","Inyectable","10 mg","L01DB01","","120","","True",""
"286","L0115","L","1","15","Doxorubicina clorhidrato (Adriamicina clorh.)","Inyectable","50 mg","L01DB01","","226.67499999999998","","True",""
"287","N0608","N","6","8","Duloxetina","Cápsula","30 mg","N06AX21","R","8.2220000000000013","","True",""
"288","V0304","V","3","4","Edetato sódico de calcio (EDTA)","Inyectable","0.2","V03AB03","","122.63","","True",""
"289","B0509","B","5","9","Emulsión de lípidos","Emulsión inyectable","Según disponibilidad","B05BA02","","169.56","","True",""
"290","C0901","C","9","1","Enalapril maleato","Comprimido ranurado","10 mg","C09AA02","","0.38155542161028033","","True",""
"291","L0211","L","2","11","Enzalutamida","Cápsula","40 mg","L02BB04","R","139.99333333333334","","True",""
"292","A0901","A","9","1","Enzimas pancreáticas (Lipasa, Proteasa y Amilasa en combinación)","Comprimido","Según disponibilidad","A09AA02","","2.1800000000000002","150 Mg","True",""
"293","C0110","C","1","10","Epinefrina (Adrenalina)","Inyectable","1 mg/ml","C01CA24","","6.89","","True",""
"294","G0203","G","2","3","Ergometrina maleato","Comprimido","0,2 mg","G02AB03","","3.1237010479867626","","True",""
"295","G0204","G","2","4","Ergometrina maleato","Inyectable","0,2 mg/ml","G02AB03","","11.400018319968765","1 ml","True",""
"296","N0203","N","2","3","Ergotamina tartrato + Cafeína","Comprimido","1 mg + 100 mg","N02CA72","","3.3287750556792872","","True",""
"297","D1001","D","10","1","Eritromicina","Loción","2% a 4%","D10AF02","","56.63","3 ml","True",""
"298","J0145","J","1","45","Eritromicina (estearato)","Cápsula o Comprimido","500 mg","J01FA01","","1.4949669668941608","","True",""
"299","J0146","J","1","46","Eritromicina (etilsuccinato)","Suspensión","250 mg/5 ml","J01FA01","","25.758471152181439","100 ml","True",""
"300","B0302","B","3","2","Eritropoyetina","Inyectable","10.000 UI","B03XA01","","95.375","","True",""
"301","B0303","B","3","3","Eritropoyetina","Inyectable","2.000 UI","B03XA01","","32.99","","True",""
"302","B0311","B","3","11","Eritropoyetina","Inyectable","4000 UI","B03XA01","","94.33","","True",""
"303","L0159","L","1","59","Erlotinib","Comprimido","150 mg","L01XE03","R","207.13","","True",""
"304","J0147","J","1","47","Espiramicina","Comprimido","500 mg","J01FA02","","7.58","","True",""
"305","C0302","C","3","2","Espironolactona","Comprimido","100 mg","C03DA01","","2.1052624067559611","","True",""
"306","C0303","C","3","3","Espironolactona","Comprimido","25 mg","C03DA01","","0.96451068661394657","","True",""
"307","G0304","G","3","4","Estradiol + Noretisterona acetato","Comprimido","2mg + 1mg","G03FB05","","146.4957","Por ciclo","True",""
"308","G0305","G","3","5","Estradiol valerianato + Norgestrel","Comprimido","2 mg + 0,5 mg","G03FA10","","95.09","por ciclo","True",""
"309","G0306","G","3","6","Estradiol valerianato + Prasterona enantato","Inyectable","4 mg + 200 mg/ml","G03EA03","","113.355","","True",""
"310","J0404","J","4","4","Estreptomicina sulfato","Inyectable","1 g","J04AM**","","5.1268514999999999","","True",""
"311","B0102","B","1","2","Estreptoquinasa","Inyectable","1.500.000 UI","B01AD01","","1074.3499999999999","","True",""
"312","G0307","G","3","7","Estrógenos conjugados","Comprimido","0,625 mg","G03CA57","","7.5600000000000005","","True",""
"313","G0308","G","3","8","Estrógenos conjugados","Comprimido","1,25 mg","G03CA57","","5.05","","True",""
"314","G0309","G","3","9","Estrógenos conjugados","Crema vaginal","0,625 mg","G03CA57","","181.3","43 g","True",""
"315","J0405","J","4","5","Etambutol","Comprimido","400 mg","J04AK02","R","0.28999999999999998","","True",""
"316","J0424","J","4","24","Etambutol","Comprimido dispersable","100 mg","J04AK02","R","1.36","","True",""
"317","J0425","J","4","25","Etambutol + Isoniazida + Pirazinamida + Rifampicina","Comprimido","275 mg + 75 mg + 400 mg +150 mg","J04AM06","R","1.1299999999999999","","True",""
"318","B0203","B","2","3","Etamsilato","Inyectable","250 mg/2 ml","B02BX01","R","37.94362985497964","","True",""
"319","D0803","D","8","3","Eter alifático dietilamino etanol","Solución 1 l","Según disponibilidad","D08AC**","","614.91916666666668","","True",""
"320","C0113","C","1","13","Etilefrina","Inyectable","10 mg/ml","C01CA01","","20.560000000000002","1 ml","True",""
"321","J0406","J","4","6","Etionamida","Comprimido","250 mg","J04AD03","","0.73","","True",""
"322","L0116","L","1","16","Etopósido","Inyectable","100 mg/5 ml","L01CB01","","109.72","","True",""
"323","B0205","B","2","5","Factor IX de la coagulación","Inyectable","500 UI","B02BD04","R","3190.4049999999997","","True",""
"324","B0204","B","2","4","Factor VIII de la coagulación","Inyectable","500 UI","B02BD02","R","2628.9049999999997","","True",""
"325","J0549","J","5","49","Favipiravir","Comprimido recubierto","200 mg","J05AX27","R","42.92","","True",""
"326","N0307","N","3","7","Fenitoína","Inyectable","50 mg/ml","N03AB02","","12.99","","True",""
"327","N0308","N","3","8","Fenitoína","Cápsula o Comprimido","100 mg","N03AB02","","0.87999999999999989","","True",""
"328","N0309","N","3","9","Fenobarbital","Comprimido","100 mg","N03AA02","","2.62","","True",""
"329","N0310","N","3","10","Fenobarbital","Gotas","20 mg/ml","N03AA02","","56.24","15 ml","True",""
"330","N0311","N","3","11","Fenobarbital","Inyectable","100 mg/ml","N03AA02","","37.799999999999997","","True",""
"331","C1004","C","10","4","Fenofibrato","Cápsula o Comprimido","200 mg","C10AB05","","6.1565341688775046","","True",""
"332","N0105","N","1","5","Fentanilo con conservante","Inyectable","0,05 mg/ml","N01AH01","","37.119999999999997","","True",""
"333","N0106","N","1","6","Fentanilo sin conservante","Inyectable","0,05 mg/ml","N01AH01","","16.574879361835901","","True",""
"334","A0604","A","6","4","Fibra natural","Polvo o granulado","Según disponibilidad","A06AC07","","3.8189442155102062","","True",""
"335","B0208","B","2","8","Fibrinógeno humano","Inyectable","1g","B02BB01","R","8426.8549999999996","","True",""
"336","L0301","L","3","1","Filgrastrim","Inyectable","300 mcg/ml","L03AA02","","195.77999999999997","","True",""
"337","G0401","G","4","1","Finasterida","Comprimido","5 mg","G04CB01","","2.9164879078114421","","True",""
"338","L0418","L","4","18","Fingolimod","Cápsula","0,5 mg","L04AA27","R","148.5","","True",""
"339","B0202","B","2","2","Fitomenadiona (Vitamina K1)","Inyectable","10 mg/ml","B02BA01","","3.2254786383162286","","True",""
"340","J0202","J","2","2","Fluconazol","Inyectable","200 mg","J02AC01","","28.56","","True",""
"341","J0208","J","2","8","Fluconazol","Comprimido o Cápsula","150 mg","J02AC01","","4.9000000000000004","","True",""
"342","L0162","L","1","62","Fludarabina","Inyectable","50 mg","L01BB05","R","1965.6","","True",""
"343","V0305","V","3","5","Flumazenil","Inyectable","0,5 mg/5 ml","V03AB25","","190","","True",""
"344","N0708","N","7","8","Flunarizina","Comprimido","10 mg","N07CA03","","3.3133333333333335","","True",""
"345","S0113","S","1","13","Fluoresceina","Inyectable","0.1","S01JA01","","82.59","","True",""
"346","S0114","S","1","14","Fluoresceina (sal sódica)","Solución oftálmica","0,25%","S01JA01","","46.32","","True",""
"347","L0117","L","1","17","Fluorouracilo","Inyectable","500 mg/10 ml","L01BC02","","59","","True",""
"348","A0102","A","1","2","Fluoruro de sodio","Gel o Pasta","Según Programa","A01AA01","","25","","True",""
"349","A1204","A","12","4","Fluoruro de sodio","Solución oral gotas","0,2%","A12CD01","","19.22","","True",""
"350","N0604","N","6","4","Fluoxetina","Cápsula o Comprimido","20 mg","N06AB03","","2.31","","True",""
"351","L0203","L","2","3","Flutamida","Comprimido","250 mg","L02BB01","","8.745000000000001","","True",""
"352","D0804","D","8","4","Formaldehido","Solución","40% p/v","D08AC**","","27.5","1 L","True",""
"353","V0608","V","6","8","Formula Infantil","Polvo","Según concentración estándar","V06DF","R","236","","True",""
"354","C0304","C","3","4","Furosemida","Comprimido ranurado","40 mg","C03CA01","","0.47864143384972446","","True",""
"355","C0305","C","3","5","Furosemida","Inyectable","10 mg/ml","C03CA01","","1.8","2 ml","True",""
"356","V0811","V","8","11","Gadobutrol","Inyectable","604,72mg/ml","V08CA09","","479.89","7.5 ml","True",""
"357","V0804","V","8","4","Gadodiamida","Inyectable","287 mg/ml","V08CA03","","473.67","","True",""
"358","V0805","V","8","5","Gadopentato de dimeglumina","Inyectable","469 mg/ml","V08CA01","","450","15 ml","True",""
